CreativeID,AdSetID,CreativeName,CreativeType,Theme,LaunchDate
CRV_00170,ADS_0044,Video_Product Close-up_v4,Video,Product Close-up,2026-01-20
CRV_00171,ADS_0044,Video_How-To_v5,Video,How-To,2026-01-20
CRV_00172,ADS_0045,Image_Before-After_v1,Image,Before-After,2026-01-20
CRV_00173,ADS_0045,Image_Testimonial_v2,Image,Testimonial,2026-02-19
CRV_00174,ADS_0045,Image_How-To_v3,Image,How-To,2026-01-20
CRV_00175,ADS_0046,Video_UGC_v1,Video,UGC,2026-01-20
CRV_00176,ADS_0046,Video_Testimonial_v2,Video,Testimonial,2026-03-21
CRV_00177,ADS_0046,Carousel_Testimonial_v3,Carousel,Testimonial,2026-03-06
CRV_00178,ADS_0046,Carousel_How-To_v4,Carousel,How-To,2026-03-21
CRV_00179,ADS_0046,Video_How-To_v5,Video,How-To,2026-01-20
CRV_00180,ADS_0047,Video_UGC_v1,Video,UGC,2026-01-20
CRV_00181,ADS_0047,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00182,ADS_0047,Carousel_Testimonial_v3,Carousel,Testimonial,2026-01-20
CRV_00183,ADS_0048,Video_Testimonial_v1,Video,Testimonial,2026-01-20
CRV_00184,ADS_0048,Video_Studio Shot_v2,Video,Studio Shot,2026-01-20
CRV_00185,ADS_0048,Video_Unboxing_v3,Video,Unboxing,2026-01-20
CRV_00186,ADS_0049,Video_How-To_v1,Video,How-To,2026-01-20
CRV_00187,ADS_0049,Image_Unboxing_v2,Image,Unboxing,2026-01-20
CRV_00188,ADS_0049,Image_Studio Shot_v3,Image,Studio Shot,2026-02-04
CRV_00189,ADS_0049,Image_Before-After_v4,Image,Before-After,2026-01-20
CRV_00190,ADS_0049,Image_Unboxing_v5,Image,Unboxing,2026-01-20
CRV_00191,ADS_0050,Video_Unboxing_v1,Video,Unboxing,2026-02-19
CRV_00192,ADS_0050,Video_Testimonial_v2,Video,Testimonial,2026-01-20
CRV_00193,ADS_0050,Carousel_UGC_v3,Carousel,UGC,2026-03-06
CRV_00194,ADS_0050,Image_UGC_v4,Image,UGC,2026-02-19
CRV_00195,ADS_0050,Video_Testimonial_v5,Video,Testimonial,2026-02-04
CRV_00196,ADS_0051,Video_How-To_v1,Video,How-To,2026-02-04
CRV_00197,ADS_0051,Video_Before-After_v2,Video,Before-After,2026-02-04
CRV_00198,ADS_0051,Video_Product Close-up_v3,Video,Product Close-up,2026-02-19
CRV_00199,ADS_0051,Image_Product Close-up_v4,Image,Product Close-up,2026-01-20
CRV_00200,ADS_0051,Video_Unboxing_v5,Video,Unboxing,2026-01-20
CRV_00201,ADS_0052,Video_Lifestyle_v1,Video,Lifestyle,2026-01-20
CRV_00202,ADS_0052,Video_Lifestyle_v2,Video,Lifestyle,2026-01-20
CRV_00203,ADS_0052,Video_Product Close-up_v3,Video,Product Close-up,2026-01-20
CRV_00204,ADS_0052,Carousel_UGC_v4,Carousel,UGC,2026-01-20
CRV_00205,ADS_0052,Video_UGC_v5,Video,UGC,2026-01-20
CRV_00206,ADS_0053,Image_Unboxing_v1,Image,Unboxing,2026-02-19
CRV_00207,ADS_0053,Video_How-To_v2,Video,How-To,2026-02-19
CRV_00208,ADS_0053,Video_How-To_v3,Video,How-To,2026-02-04
CRV_00209,ADS_0053,Video_UGC_v4,Video,UGC,2026-01-20
CRV_00210,ADS_0054,Image_Product Close-up_v1,Image,Product Close-up,2026-02-04
CRV_00211,ADS_0054,Carousel_Lifestyle_v2,Carousel,Lifestyle,2026-01-20
CRV_00212,ADS_0054,Video_Unboxing_v3,Video,Unboxing,2026-02-04
CRV_00213,ADS_0054,Image_Studio Shot_v4,Image,Studio Shot,2026-01-20
CRV_00214,ADS_0055,Video_Testimonial_v1,Video,Testimonial,2026-01-20
CRV_00215,ADS_0055,Video_Unboxing_v2,Video,Unboxing,2026-01-20
CRV_00216,ADS_0055,Video_Product Close-up_v3,Video,Product Close-up,2026-01-20
CRV_00217,ADS_0056,Video_How-To_v1,Video,How-To,2026-02-19
CRV_00218,ADS_0056,Video_Studio Shot_v2,Video,Studio Shot,2026-01-20
CRV_00219,ADS_0056,Image_UGC_v3,Image,UGC,2026-01-20
CRV_00220,ADS_0057,Image_Product Close-up_v1,Image,Product Close-up,2026-01-20
CRV_00221,ADS_0057,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00222,ADS_0057,Image_Studio Shot_v3,Image,Studio Shot,2026-01-20
CRV_00223,ADS_0058,Video_Product Close-up_v1,Video,Product Close-up,2026-02-04
CRV_00224,ADS_0058,Video_Lifestyle_v2,Video,Lifestyle,2026-01-20
CRV_00225,ADS_0058,Video_Studio Shot_v3,Video,Studio Shot,2026-02-04
CRV_00226,ADS_0059,Video_How-To_v1,Video,How-To,2026-01-20
CRV_00227,ADS_0059,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00228,ADS_0059,Carousel_Unboxing_v3,Carousel,Unboxing,2026-01-20
CRV_00229,ADS_0059,Image_Unboxing_v4,Image,Unboxing,2026-01-20
CRV_00230,ADS_0059,Image_Lifestyle_v5,Image,Lifestyle,2026-01-20
CRV_00231,ADS_0060,Image_Lifestyle_v1,Image,Lifestyle,2026-01-20
CRV_00232,ADS_0060,Video_Product Close-up_v2,Video,Product Close-up,2026-02-19
CRV_00233,ADS_0060,Image_Product Close-up_v3,Image,Product Close-up,2026-01-20
CRV_00234,ADS_0061,Video_UGC_v1,Video,UGC,2026-01-20
CRV_00235,ADS_0061,Carousel_How-To_v2,Carousel,How-To,2026-01-20
CRV_00236,ADS_0061,Video_How-To_v3,Video,How-To,2026-01-20
CRV_00237,ADS_0061,Image_Before-After_v4,Image,Before-After,2026-01-20
CRV_00238,ADS_0061,Video_Testimonial_v5,Video,Testimonial,2026-01-20
CRV_00239,ADS_0062,Image_Testimonial_v1,Image,Testimonial,2026-01-20
CRV_00240,ADS_0062,Video_How-To_v2,Video,How-To,2026-01-20
CRV_00241,ADS_0062,Carousel_Lifestyle_v3,Carousel,Lifestyle,2026-01-20
CRV_00242,ADS_0063,Video_UGC_v1,Video,UGC,2026-01-20
CRV_00243,ADS_0063,Carousel_Studio Shot_v2,Carousel,Studio Shot,2026-01-20
CRV_00244,ADS_0063,Video_Before-After_v3,Video,Before-After,2026-01-20
CRV_00245,ADS_0064,Image_How-To_v1,Image,How-To,2026-01-20
CRV_00246,ADS_0064,Video_How-To_v2,Video,How-To,2026-01-20
CRV_00247,ADS_0064,Video_How-To_v3,Video,How-To,2026-02-04
CRV_00248,ADS_0064,Image_Studio Shot_v4,Image,Studio Shot,2026-02-19
CRV_00249,ADS_0064,Carousel_Studio Shot_v5,Carousel,Studio Shot,2026-01-20
CRV_00250,ADS_0065,Video_Testimonial_v1,Video,Testimonial,2026-02-04
CRV_00251,ADS_0065,Carousel_Studio Shot_v2,Carousel,Studio Shot,2026-01-20
CRV_00252,ADS_0065,Video_Lifestyle_v3,Video,Lifestyle,2026-01-20
CRV_00253,ADS_0065,Image_Unboxing_v4,Image,Unboxing,2026-01-20
CRV_00254,ADS_0065,Image_How-To_v5,Image,How-To,2026-01-20
CRV_00255,ADS_0066,Image_Lifestyle_v1,Image,Lifestyle,2026-01-20
CRV_00256,ADS_0066,Video_UGC_v2,Video,UGC,2026-01-20
CRV_00257,ADS_0066,Video_Studio Shot_v3,Video,Studio Shot,2026-02-04
CRV_00258,ADS_0067,Image_How-To_v1,Image,How-To,2026-01-20
CRV_00259,ADS_0067,Carousel_Unboxing_v2,Carousel,Unboxing,2026-01-20
CRV_00260,ADS_0067,Video_Before-After_v3,Video,Before-After,2026-01-20
CRV_00261,ADS_0068,Carousel_Before-After_v1,Carousel,Before-After,2026-01-20
CRV_00262,ADS_0068,Carousel_Unboxing_v2,Carousel,Unboxing,2026-01-20
CRV_00263,ADS_0068,Image_Unboxing_v3,Image,Unboxing,2026-01-20
CRV_00264,ADS_0069,Image_Testimonial_v1,Image,Testimonial,2026-01-20
CRV_00265,ADS_0069,Video_How-To_v2,Video,How-To,2026-01-20
CRV_00266,ADS_0069,Carousel_UGC_v3,Carousel,UGC,2026-03-06
CRV_00267,ADS_0069,Video_Studio Shot_v4,Video,Studio Shot,2026-01-20
CRV_00268,ADS_0069,Video_UGC_v5,Video,UGC,2026-02-19
CRV_00269,ADS_0070,Video_Lifestyle_v1,Video,Lifestyle,2026-01-20
CRV_00270,ADS_0070,Video_Before-After_v2,Video,Before-After,2026-01-20
CRV_00271,ADS_0070,Image_How-To_v3,Image,How-To,2026-02-04
CRV_00272,ADS_0071,Video_Before-After_v1,Video,Before-After,2026-01-20
CRV_00273,ADS_0071,Video_How-To_v2,Video,How-To,2026-02-19
CRV_00274,ADS_0071,Image_Testimonial_v3,Image,Testimonial,2026-01-20
CRV_00275,ADS_0071,Image_Before-After_v4,Image,Before-After,2026-01-20
CRV_00276,ADS_0072,Video_Before-After_v1,Video,Before-After,2026-01-20
CRV_00277,ADS_0072,Image_Lifestyle_v2,Image,Lifestyle,2026-01-20
CRV_00278,ADS_0072,Video_Product Close-up_v3,Video,Product Close-up,2026-01-20
CRV_00279,ADS_0072,Video_Unboxing_v4,Video,Unboxing,2026-01-20
CRV_00280,ADS_0073,Video_Testimonial_v1,Video,Testimonial,2026-02-04
CRV_00281,ADS_0073,Video_Product Close-up_v2,Video,Product Close-up,2026-01-20
CRV_00282,ADS_0073,Video_UGC_v3,Video,UGC,2026-01-20
CRV_00283,ADS_0074,Image_Before-After_v1,Image,Before-After,2026-02-04
CRV_00284,ADS_0074,Video_Testimonial_v2,Video,Testimonial,2026-01-20
CRV_00285,ADS_0074,Image_UGC_v3,Image,UGC,2026-03-06
CRV_00286,ADS_0074,Video_Studio Shot_v4,Video,Studio Shot,2026-03-06
CRV_00287,ADS_0074,Video_Lifestyle_v5,Video,Lifestyle,2026-01-20
CRV_00288,ADS_0075,Image_UGC_v1,Image,UGC,2026-02-04
CRV_00289,ADS_0075,Video_UGC_v2,Video,UGC,2026-01-20
CRV_00290,ADS_0075,Image_Product Close-up_v3,Image,Product Close-up,2026-01-20
CRV_00291,ADS_0075,Image_Studio Shot_v4,Image,Studio Shot,2026-01-20
CRV_00292,ADS_0075,Video_UGC_v5,Video,UGC,2026-01-20
CRV_00293,ADS_0076,Image_UGC_v1,Image,UGC,2026-01-20
CRV_00294,ADS_0076,Image_UGC_v2,Image,UGC,2026-01-20
CRV_00295,ADS_0076,Video_UGC_v3,Video,UGC,2026-01-20
CRV_00296,ADS_0077,Carousel_Before-After_v1,Carousel,Before-After,2026-02-04
CRV_00297,ADS_0077,Video_Lifestyle_v2,Video,Lifestyle,2026-01-20
CRV_00298,ADS_0077,Video_Studio Shot_v3,Video,Studio Shot,2026-02-04
CRV_00299,ADS_0077,Video_Lifestyle_v4,Video,Lifestyle,2026-01-20
CRV_00300,ADS_0077,Video_How-To_v5,Video,How-To,2026-03-21
CRV_00301,ADS_0078,Video_Unboxing_v1,Video,Unboxing,2026-01-20
CRV_00302,ADS_0078,Image_Product Close-up_v2,Image,Product Close-up,2026-01-20
CRV_00303,ADS_0078,Video_Unboxing_v3,Video,Unboxing,2026-03-21
CRV_00304,ADS_0078,Video_How-To_v4,Video,How-To,2026-02-19
CRV_00305,ADS_0079,Image_Unboxing_v1,Image,Unboxing,2026-01-20
CRV_00306,ADS_0079,Carousel_Product Close-up_v2,Carousel,Product Close-up,2026-01-20
CRV_00307,ADS_0079,Video_Unboxing_v3,Video,Unboxing,2026-02-19
CRV_00308,ADS_0079,Video_Product Close-up_v4,Video,Product Close-up,2026-01-20
CRV_00309,ADS_0080,Image_Unboxing_v1,Image,Unboxing,2026-01-20
CRV_00310,ADS_0080,Video_Before-After_v2,Video,Before-After,2026-01-20
CRV_00311,ADS_0080,Video_Studio Shot_v3,Video,Studio Shot,2026-01-20
CRV_00312,ADS_0080,Video_Unboxing_v4,Video,Unboxing,2026-01-20
CRV_00313,ADS_0080,Video_Before-After_v5,Video,Before-After,2026-01-20
CRV_00314,ADS_0081,Video_Studio Shot_v1,Video,Studio Shot,2026-01-20
CRV_00315,ADS_0081,Carousel_Product Close-up_v2,Carousel,Product Close-up,2026-01-20
CRV_00316,ADS_0081,Carousel_How-To_v3,Carousel,How-To,2026-01-20
CRV_00317,ADS_0082,Video_Studio Shot_v1,Video,Studio Shot,2026-03-06
CRV_00318,ADS_0082,Image_How-To_v2,Image,How-To,2026-01-20
CRV_00319,ADS_0082,Video_Before-After_v3,Video,Before-After,2026-01-20
CRV_00320,ADS_0083,Video_Testimonial_v1,Video,Testimonial,2026-03-21
CRV_00321,ADS_0083,Video_Lifestyle_v2,Video,Lifestyle,2026-01-20
CRV_00322,ADS_0083,Video_Lifestyle_v3,Video,Lifestyle,2026-01-20
CRV_00323,ADS_0084,Video_Studio Shot_v1,Video,Studio Shot,2026-01-20
CRV_00324,ADS_0084,Image_How-To_v2,Image,How-To,2026-01-20
CRV_00325,ADS_0084,Image_Before-After_v3,Image,Before-After,2026-03-21
CRV_00326,ADS_0084,Video_Lifestyle_v4,Video,Lifestyle,2026-01-20
CRV_00327,ADS_0084,Image_UGC_v5,Image,UGC,2026-03-06
CRV_00328,ADS_0085,Image_Testimonial_v1,Image,Testimonial,2026-01-20
CRV_00329,ADS_0085,Carousel_How-To_v2,Carousel,How-To,2026-01-20
CRV_00330,ADS_0085,Carousel_Product Close-up_v3,Carousel,Product Close-up,2026-01-20
CRV_00331,ADS_0086,Video_Before-After_v1,Video,Before-After,2026-01-20
CRV_00332,ADS_0086,Video_Before-After_v2,Video,Before-After,2026-01-20
CRV_00333,ADS_0086,Image_Lifestyle_v3,Image,Lifestyle,2026-01-20
CRV_00334,ADS_0086,Image_UGC_v4,Image,UGC,2026-02-04
CRV_00335,ADS_0086,Video_How-To_v5,Video,How-To,2026-03-06
CRV_00336,ADS_0087,Video_Testimonial_v1,Video,Testimonial,2026-03-21
CRV_00337,ADS_0087,Image_Product Close-up_v2,Image,Product Close-up,2026-01-20
CRV_00338,ADS_0087,Video_Lifestyle_v3,Video,Lifestyle,2026-01-20
CRV_00339,ADS_0088,Image_Studio Shot_v1,Image,Studio Shot,2026-01-20
CRV_00340,ADS_0088,Image_Testimonial_v2,Image,Testimonial,2026-01-20
CRV_00341,ADS_0088,Image_Lifestyle_v3,Image,Lifestyle,2026-01-20
CRV_00342,ADS_0088,Image_Before-After_v4,Image,Before-After,2026-02-19
CRV_00343,ADS_0088,Carousel_Testimonial_v5,Carousel,Testimonial,2026-01-20
